	cmd	descr	duration	enclaved	operation	program	size	time
7	['target/release/gcd', '14930352', '24157817']	Time from before all recursive calls to after them	0.000405	False	14930352, 24157817	gcd	8.0	2021-08-21 12:51:42.595959
8	['target/release/gcd', '102334155', '165580141']	Time from before all recursive calls to after them	0.000457	False	102334155, 165580141	gcd	9.0	2021-08-21 12:51:42.601971
9	['target/release/gcd', '12586269025', '20365011074']	Time from before all recursive calls to after them	0.000593	False	12586269025, 20365011074	gcd	11.0	2021-08-21 12:51:42.608527
0	['build/gcd', '2', '3']	Time from before all recursive calls to after them	0.020033	True	2, 3	gcd	1.0	2021-08-21 12:51:42.622025
1	['build/gcd', '13', '21']	Time from before all recursive calls to after them	0.03984	True	13, 21	gcd	2.0	2021-08-21 12:51:42.905258
2	['build/gcd', '144', '233']	Time from before all recursive calls to after them	0.06464	True	144, 233	gcd	3.0	2021-08-21 12:51:43.385294
3	['build/gcd', '1597', '2584']	Time from before all recursive calls to after them	0.089717	True	1597, 2584	gcd	4.0	2021-08-21 12:51:44.113261
4	['build/gcd', '10946', '17711']	Time from before all recursive calls to after them	0.109381	True	10946, 17711	gcd	5.0	2021-08-21 12:51:45.089271
5	['build/gcd', '121393', '196418']	Time from before all recursive calls to after them	0.134554	True	121393, 196418	gcd	6.0	2021-08-21 12:51:46.261267
6	['build/gcd', '1346269', '2178309']	Time from before all recursive calls to after them	0.158906	True	1346269, 2178309	gcd	7.0	2021-08-21 12:51:47.685279
7	['build/gcd', '14930352', '24157817']	Time from before all recursive calls to after them	0.184526	True	14930352, 24157817	gcd	8.0	2021-08-21 12:51:49.353251
8	['build/gcd', '102334155', '165580141']	Time from before all recursive calls to after them	0.203634	True	102334155, 165580141	gcd	9.0	2021-08-21 12:51:51.277268
9	['build/gcd', '12586269025', '20365011074']	Time from before all recursive calls to after them	0.254373	True	12586269025, 20365011074	gcd	11.0	2021-08-21 12:51:53.393255
0	['target/release/gcd', '2', '3']	Time from before all recursive calls to after them	1.2e-05	False	2, 3	gcd	1.0	2021-08-21 12:51:56.022183
1	['target/release/gcd', '13', '21']	Time from before all recursive calls to after them	3.6e-05	False	13, 21	gcd	2.0	2021-08-21 12:51:56.024625
2	['target/release/gcd', '144', '233']	Time from before all recursive calls to after them	8.4e-05	False	144, 233	gcd	3.0	2021-08-21 12:51:56.026979
3	['target/release/gcd', '1597', '2584']	Time from before all recursive calls to after them	0.000133	False	1597, 2584	gcd	4.0	2021-08-21 12:51:56.029774
4	['target/release/gcd', '10946', '17711']	Time from before all recursive calls to after them	0.000173	False	10946, 17711	gcd	5.0	2021-08-21 12:51:56.033110
5	['target/release/gcd', '121393', '196418']	Time from before all recursive calls to after them	0.000225	False	121393, 196418	gcd	6.0	2021-08-21 12:51:56.036781
6	['target/release/gcd', '1346269', '2178309']	Time from before all recursive calls to after them	0.00031	False	1346269, 2178309	gcd	7.0	2021-08-21 12:51:56.041022
7	['target/release/gcd', '14930352', '24157817']	Time from before all recursive calls to after them	0.000481	False	14930352, 24157817	gcd	8.0	2021-08-21 12:51:56.046363
8	['target/release/gcd', '102334155', '165580141']	Time from before all recursive calls to after them	0.000453	False	102334155, 165580141	gcd	9.0	2021-08-21 12:51:56.053589
9	['target/release/gcd', '12586269025', '20365011074']	Time from before all recursive calls to after them	0.000624	False	12586269025, 20365011074	gcd	11.0	2021-08-21 12:51:56.060081
0	['build/gcd', '2', '3']	Time from before all recursive calls to after them	0.019934	True	2, 3	gcd	1.0	2021-08-21 12:51:56.075164
1	['build/gcd', '13', '21']	Time from before all recursive calls to after them	0.040071	True	13, 21	gcd	2.0	2021-08-21 12:51:56.361242
2	['build/gcd', '144', '233']	Time from before all recursive calls to after them	0.0647	True	144, 233	gcd	3.0	2021-08-21 12:51:56.841290
3	['build/gcd', '1597', '2584']	Time from before all recursive calls to after them	0.089897	True	1597, 2584	gcd	4.0	2021-08-21 12:51:57.569238
4	['build/gcd', '10946', '17711']	Time from before all recursive calls to after them	0.109359	True	10946, 17711	gcd	5.0	2021-08-21 12:51:58.549280
5	['build/gcd', '121393', '196418']	Time from before all recursive calls to after them	0.134661	True	121393, 196418	gcd	6.0	2021-08-21 12:51:59.721268
6	['build/gcd', '1346269', '2178309']	Time from before all recursive calls to after them	0.15967	True	1346269, 2178309	gcd	7.0	2021-08-21 12:52:01.149282
7	['build/gcd', '14930352', '24157817']	Time from before all recursive calls to after them	0.18368	True	14930352, 24157817	gcd	8.0	2021-08-21 12:52:02.825232
8	['build/gcd', '102334155', '165580141']	Time from before all recursive calls to after them	0.203854	True	102334155, 165580141	gcd	9.0	2021-08-21 12:52:04.741243
9	['build/gcd', '12586269025', '20365011074']	Time from before all recursive calls to after them	0.253806	True	12586269025, 20365011074	gcd	11.0	2021-08-21 12:52:06.861272
0	['target/release/gcd', '2', '3']	Time from before all recursive calls to after them	1.2e-05	False	2, 3	gcd	1.0	2021-08-21 12:52:09.482219
1	['target/release/gcd', '13', '21']	Time from before all recursive calls to after them	3.6e-05	False	13, 21	gcd	2.0	2021-08-21 12:52:09.484637
2	['target/release/gcd', '144', '233']	Time from before all recursive calls to after them	8.4e-05	False	144, 233	gcd	3.0	2021-08-21 12:52:09.486997
3	['target/release/gcd', '1597', '2584']	Time from before all recursive calls to after them	0.000133	False	1597, 2584	gcd	4.0	2021-08-21 12:52:09.489777
4	['target/release/gcd', '10946', '17711']	Time from before all recursive calls to after them	0.000173	False	10946, 17711	gcd	5.0	2021-08-21 12:52:09.493090
