	cmd	descr	duration	enclaved	operation	program	size	time
9	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	5.781	False	sign	maxisign	1048576.0	2021-08-23 08:34:20.495507
10	['target/release/maxisign', 'verify', '/tmp/tmpoohr85x2']	Time from after program startup until after verification result has been emitted	3.655	False	verify	maxisign	1048576.0	2021-08-23 08:34:20.503462
11	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	23.07	False	sign	maxisign	4194304.0	2021-08-23 08:34:20.632715
12	['target/release/maxisign', 'verify', '/tmp/tmpqm2ojcae']	Time from after program startup until after verification result has been emitted	14.337	False	verify	maxisign	4194304.0	2021-08-23 08:34:20.658221
13	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	46.048	False	sign	maxisign	8388608.0	2021-08-23 08:34:20.921927
14	['target/release/maxisign', 'verify', '/tmp/tmp2wqlxtqo']	Time from after program startup until after verification result has been emitted	28.81	False	verify	maxisign	8388608.0	2021-08-23 08:34:20.970742
15	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	69.213	False	sign	maxisign	12582912.0	2021-08-23 08:34:21.371053
16	['target/release/maxisign', 'verify', '/tmp/tmp7rgq1aqm']	Time from after program startup until after verification result has been emitted	43.024	False	verify	maxisign	12582912.0	2021-08-23 08:34:21.443359
0	['build/maxisign', 'genkey']	Time from after program startup to complete key generation	0.711	True	genkey	maxisign		2021-08-23 08:34:21.495340
1	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.684	True	sign	maxisign	1024.0	2021-08-23 08:34:21.577567
2	['build/maxisign', 'verify', '/tmp/tmp14uvcms3']	Time from after program startup until after verification result has been emitted	0.13	True	verify	maxisign	1024.0	2021-08-23 08:34:21.661367
3	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.742	True	sign	maxisign	10240.0	2021-08-23 08:34:21.745873
4	['build/maxisign', 'verify', '/tmp/tmp9tc0apke']	Time from after program startup until after verification result has been emitted	0.15	True	verify	maxisign	10240.0	2021-08-23 08:34:21.829374
5	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	1.47	True	sign	maxisign	102400.0	2021-08-23 08:34:21.916563
6	['build/maxisign', 'verify', '/tmp/tmpgzqlhi8_']	Time from after program startup until after verification result has been emitted	0.555	True	verify	maxisign	102400.0	2021-08-23 08:34:22.005395
7	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	4.119	True	sign	maxisign	524288.0	2021-08-23 08:34:22.104951
8	['build/maxisign', 'verify', '/tmp/tmp4_a1z1yh']	Time from after program startup until after verification result has been emitted	2.035	True	verify	maxisign	524288.0	2021-08-23 08:34:22.193323
9	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	7.449	True	sign	maxisign	1048576.0	2021-08-23 08:34:22.308359
10	['build/maxisign', 'verify', '/tmp/tmptv7hd1sk']	Time from after program startup until after verification result has been emitted	3.832	True	verify	maxisign	1048576.0	2021-08-23 08:34:22.397355
11	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	27.748	True	sign	maxisign	4194304.0	2021-08-23 08:34:22.611113
12	['build/maxisign', 'verify', '/tmp/tmput3mywwc']	Time from after program startup until after verification result has been emitted	14.674	True	verify	maxisign	4194304.0	2021-08-23 08:34:22.721379
13	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	54.64	True	sign	maxisign	8388608.0	2021-08-23 08:34:23.070164
14	['build/maxisign', 'verify', '/tmp/tmp5y9820y7']	Time from after program startup until after verification result has been emitted	29.025	True	verify	maxisign	8388608.0	2021-08-23 08:34:23.209362
15	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	81.773	True	sign	maxisign	12582912.0	2021-08-23 08:34:23.690231
16	['build/maxisign', 'verify', '/tmp/tmpwzo2c_6u']	Time from after program startup until after verification result has been emitted	43.369	True	verify	maxisign	12582912.0	2021-08-23 08:34:23.853355
0	['target/release/maxisign', 'genkey']	Time from after program startup to complete key generation	0.096	False	genkey	maxisign		2021-08-23 08:34:23.987356
1	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.083	False	sign	maxisign	1024.0	2021-08-23 08:34:23.990080
2	['target/release/maxisign', 'verify', '/tmp/tmpmwklc63e']	Time from after program startup until after verification result has been emitted	0.105	False	verify	maxisign	1024.0	2021-08-23 08:34:23.992282
3	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.126	False	sign	maxisign	10240.0	2021-08-23 08:34:23.995006
4	['target/release/maxisign', 'verify', '/tmp/tmp9aa9s4he']	Time from after program startup until after verification result has been emitted	0.129	False	verify	maxisign	10240.0	2021-08-23 08:34:23.997223
5	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.665	False	sign	maxisign	102400.0	2021-08-23 08:34:24.002676
6	['target/release/maxisign', 'verify', '/tmp/tmpf84htlli']	Time from after program startup until after verification result has been emitted	0.487	False	verify	maxisign	102400.0	2021-08-23 08:34:24.005467
7	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	2.899	False	sign	maxisign	524288.0	2021-08-23 08:34:24.023623
8	['target/release/maxisign', 'verify', '/tmp/tmpmjeia2i3']	Time from after program startup until after verification result has been emitted	1.863	False	verify	maxisign	524288.0	2021-08-23 08:34:24.028651
9	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	5.775	False	sign	maxisign	1048576.0	2021-08-23 08:34:24.063669
10	['target/release/maxisign', 'verify', '/tmp/tmp7q5ac2fp']	Time from after program startup until after verification result has been emitted	3.629	False	verify	maxisign	1048576.0	2021-08-23 08:34:24.071638
11	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	23.045	False	sign	maxisign	4194304.0	2021-08-23 08:34:24.200675
12	['target/release/maxisign', 'verify', '/tmp/tmpv2r3lhe2']	Time from after program startup until after verification result has been emitted	14.423	False	verify	maxisign	4194304.0	2021-08-23 08:34:24.226164
13	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	46.016	False	sign	maxisign	8388608.0	2021-08-23 08:34:24.489080
14	['target/release/maxisign', 'verify', '/tmp/tmpm0e0fz58']	Time from after program startup until after verification result has been emitted	28.856	False	verify	maxisign	8388608.0	2021-08-23 08:34:24.537887
15	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	69.017	False	sign	maxisign	12582912.0	2021-08-23 08:34:24.938057
16	['target/release/maxisign', 'verify', '/tmp/tmp6vh8bd2x']	Time from after program startup until after verification result has been emitted	43.559	False	verify	maxisign	12582912.0	2021-08-23 08:34:25.010175
0	['build/maxisign', 'genkey']	Time from after program startup to complete key generation	0.702	True	genkey	maxisign		2021-08-23 08:34:25.062763
1	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.692	True	sign	maxisign	1024.0	2021-08-23 08:34:25.145653
2	['build/maxisign', 'verify', '/tmp/tmpwd3d7w65']	Time from after program startup until after verification result has been emitted	0.13	True	verify	maxisign	1024.0	2021-08-23 08:34:25.229383
3	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.75	True	sign	maxisign	10240.0	2021-08-23 08:34:25.313913
4	['build/maxisign', 'verify', '/tmp/tmpgv3v0iq2']	Time from after program startup until after verification result has been emitted	0.158	True	verify	maxisign	10240.0	2021-08-23 08:34:25.397418
5	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	1.448	True	sign	maxisign	102400.0	2021-08-23 08:34:25.484574
6	['build/maxisign', 'verify', '/tmp/tmphatr3lz7']	Time from after program startup until after verification result has been emitted	0.592	True	verify	maxisign	102400.0	2021-08-23 08:34:25.573408
7	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	4.128	True	sign	maxisign	524288.0	2021-08-23 08:34:25.672941
8	['build/maxisign', 'verify', '/tmp/tmpu4_6a15x']	Time from after program startup until after verification result has been emitted	2.05	True	verify	maxisign	524288.0	2021-08-23 08:34:25.761389
9	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	7.402	True	sign	maxisign	1048576.0	2021-08-23 08:34:25.876341
10	['build/maxisign', 'verify', '/tmp/tmp2razmxb5']	Time from after program startup until after verification result has been emitted	3.801	True	verify	maxisign	1048576.0	2021-08-23 08:34:25.965360
11	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	27.676	True	sign	maxisign	4194304.0	2021-08-23 08:34:26.179071
12	['build/maxisign', 'verify', '/tmp/tmpmyc15rw1']	Time from after program startup until after verification result has been emitted	14.653	True	verify	maxisign	4194304.0	2021-08-23 08:34:26.289394
13	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	54.637	True	sign	maxisign	8388608.0	2021-08-23 08:34:26.635675
14	['build/maxisign', 'verify', '/tmp/tmpohod0xph']	Time from after program startup until after verification result has been emitted	28.98	True	verify	maxisign	8388608.0	2021-08-23 08:34:26.773392
15	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	81.88	True	sign	maxisign	12582912.0	2021-08-23 08:34:27.254457
16	['build/maxisign', 'verify', '/tmp/tmpq52h3f5f']	Time from after program startup until after verification result has been emitted	43.332	True	verify	maxisign	12582912.0	2021-08-23 08:34:27.417383
0	['target/release/maxisign', 'genkey']	Time from after program startup to complete key generation	0.099	False	genkey	maxisign		2021-08-23 08:34:27.551381
1	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.083	False	sign	maxisign	1024.0	2021-08-23 08:34:27.554155
2	['target/release/maxisign', 'verify', '/tmp/tmpqpdvbnfa']	Time from after program startup until after verification result has been emitted	0.107	False	verify	maxisign	1024.0	2021-08-23 08:34:27.556383
3	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.126	False	sign	maxisign	10240.0	2021-08-23 08:34:27.559125
4	['target/release/maxisign', 'verify', '/tmp/tmpshmqfiso']	Time from after program startup until after verification result has been emitted	0.132	False	verify	maxisign	10240.0	2021-08-23 08:34:27.561384
5	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.674	False	sign	maxisign	102400.0	2021-08-23 08:34:27.566823
6	['target/release/maxisign', 'verify', '/tmp/tmp2u40pic3']	Time from after program startup until after verification result has been emitted	0.491	False	verify	maxisign	102400.0	2021-08-23 08:34:27.569640
7	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	2.923	False	sign	maxisign	524288.0	2021-08-23 08:34:27.587933
8	['target/release/maxisign', 'verify', '/tmp/tmpr_poz3yj']	Time from after program startup until after verification result has been emitted	1.859	False	verify	maxisign	524288.0	2021-08-23 08:34:27.592958
9	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	5.781	False	sign	maxisign	1048576.0	2021-08-23 08:34:27.627963
10	['target/release/maxisign', 'verify', '/tmp/tmphyvjqay2']	Time from after program startup until after verification result has been emitted	3.646	False	verify	maxisign	1048576.0	2021-08-23 08:34:27.635980
11	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	23.073	False	sign	maxisign	4194304.0	2021-08-23 08:34:27.765253
12	['target/release/maxisign', 'verify', '/tmp/tmp1a11nt28']	Time from after program startup until after verification result has been emitted	14.516	False	verify	maxisign	4194304.0	2021-08-23 08:34:27.790842
13	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	46.081	False	sign	maxisign	8388608.0	2021-08-23 08:34:28.054059
14	['target/release/maxisign', 'verify', '/tmp/tmpvmtbauik']	Time from after program startup until after verification result has been emitted	28.868	False	verify	maxisign	8388608.0	2021-08-23 08:34:28.102977
15	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	69.202	False	sign	maxisign	12582912.0	2021-08-23 08:34:28.503695
16	['target/release/maxisign', 'verify', '/tmp/tmplqdrw56g']	Time from after program startup until after verification result has been emitted	42.995	False	verify	maxisign	12582912.0	2021-08-23 08:34:28.576051
0	['build/maxisign', 'genkey']	Time from after program startup to complete key generation	0.715	True	genkey	maxisign		2021-08-23 08:34:28.628151
1	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.677	True	sign	maxisign	1024.0	2021-08-23 08:34:28.713673
2	['build/maxisign', 'verify', '/tmp/tmpy3f3lrbs']	Time from after program startup until after verification result has been emitted	0.128	True	verify	maxisign	1024.0	2021-08-23 08:34:28.797417
3	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.733	True	sign	maxisign	10240.0	2021-08-23 08:34:28.881904
4	['build/maxisign', 'verify', '/tmp/tmppmmedf69']	Time from after program startup until after verification result has been emitted	0.157	True	verify	maxisign	10240.0	2021-08-23 08:34:28.965386
