	cmd	descr	duration	enclaved	operation	program	size	time
9	['build/factorial', '10']	Time from before all recursive calls to after them	0.049686	True		factorial	10.0	2021-08-21 12:19:55.297221
10	['build/factorial', '11']	Time from before all recursive calls to after them	0.054717	True		factorial	11.0	2021-08-21 12:19:55.873238
11	['build/factorial', '12']	Time from before all recursive calls to after them	0.059799	True		factorial	12.0	2021-08-21 12:19:56.501241
12	['build/factorial', '13']	Time from before all recursive calls to after them	0.064869	True		factorial	13.0	2021-08-21 12:19:57.177244
13	['build/factorial', '14']	Time from before all recursive calls to after them	0.069488	True		factorial	14.0	2021-08-21 12:19:57.905208
14	['build/factorial', '15']	Time from before all recursive calls to after them	0.074656	True		factorial	15.0	2021-08-21 12:19:58.681215
15	['build/factorial', '16']	Time from before all recursive calls to after them	0.079416	True		factorial	16.0	2021-08-21 12:19:59.509214
16	['build/factorial', '17']	Time from before all recursive calls to after them	0.084607	True		factorial	17.0	2021-08-21 12:20:00.385230
17	['build/factorial', '18']	Time from before all recursive calls to after them	0.089454	True		factorial	18.0	2021-08-21 12:20:01.313213
18	['build/factorial', '19']	Time from before all recursive calls to after them	0.09467	True		factorial	19.0	2021-08-21 12:20:02.289251
19	['build/factorial', '20']	Time from before all recursive calls to after them	0.099262	True		factorial	20.0	2021-08-21 12:20:03.317228
0	['target/release/factorial', '1']	Time from before all recursive calls to after them	2e-06	False		factorial	1.0	2021-08-21 12:20:04.394529
1	['target/release/factorial', '2']	Time from before all recursive calls to after them	3e-06	False		factorial	2.0	2021-08-21 12:20:04.396820
2	['target/release/factorial', '3']	Time from before all recursive calls to after them	5e-06	False		factorial	3.0	2021-08-21 12:20:04.398844
3	['target/release/factorial', '4']	Time from before all recursive calls to after them	7e-06	False		factorial	4.0	2021-08-21 12:20:04.400859
4	['target/release/factorial', '5']	Time from before all recursive calls to after them	1e-05	False		factorial	5.0	2021-08-21 12:20:04.402874
5	['target/release/factorial', '6']	Time from before all recursive calls to after them	1.1e-05	False		factorial	6.0	2021-08-21 12:20:04.404944
6	['target/release/factorial', '7']	Time from before all recursive calls to after them	1.3e-05	False		factorial	7.0	2021-08-21 12:20:04.407022
7	['target/release/factorial', '8']	Time from before all recursive calls to after them	1.4e-05	False		factorial	8.0	2021-08-21 12:20:04.409105
8	['target/release/factorial', '9']	Time from before all recursive calls to after them	1.6e-05	False		factorial	9.0	2021-08-21 12:20:04.411249
9	['target/release/factorial', '10']	Time from before all recursive calls to after them	2.2e-05	False		factorial	10.0	2021-08-21 12:20:04.413373
10	['target/release/factorial', '11']	Time from before all recursive calls to after them	2.6e-05	False		factorial	11.0	2021-08-21 12:20:04.415592
11	['target/release/factorial', '12']	Time from before all recursive calls to after them	2.8e-05	False		factorial	12.0	2021-08-21 12:20:04.417828
12	['target/release/factorial', '13']	Time from before all recursive calls to after them	3e-05	False		factorial	13.0	2021-08-21 12:20:04.420063
13	['target/release/factorial', '14']	Time from before all recursive calls to after them	3.3e-05	False		factorial	14.0	2021-08-21 12:20:04.422319
14	['target/release/factorial', '15']	Time from before all recursive calls to after them	3.6e-05	False		factorial	15.0	2021-08-21 12:20:04.424610
15	['target/release/factorial', '16']	Time from before all recursive calls to after them	3.6e-05	False		factorial	16.0	2021-08-21 12:20:04.426942
16	['target/release/factorial', '17']	Time from before all recursive calls to after them	4e-05	False		factorial	17.0	2021-08-21 12:20:04.429241
17	['target/release/factorial', '18']	Time from before all recursive calls to after them	4e-05	False		factorial	18.0	2021-08-21 12:20:04.431646
18	['target/release/factorial', '19']	Time from before all recursive calls to after them	4.3e-05	False		factorial	19.0	2021-08-21 12:20:04.434032
19	['target/release/factorial', '20']	Time from before all recursive calls to after them	4.6e-05	False		factorial	20.0	2021-08-21 12:20:04.436423
0	['build/factorial', '1']	Time from before all recursive calls to after them	2e-06	True		factorial	1.0	2021-08-21 12:20:04.444061
1	['build/factorial', '2']	Time from before all recursive calls to after them	0.010076	True		factorial	2.0	2021-08-21 12:20:04.525213
2	['build/factorial', '3']	Time from before all recursive calls to after them	0.01504	True		factorial	3.0	2021-08-21 12:20:04.705217
3	['build/factorial', '4']	Time from before all recursive calls to after them	0.019997	True		factorial	4.0	2021-08-21 12:20:04.937269
4	['build/factorial', '5']	Time from before all recursive calls to after them	0.024994	True		factorial	5.0	2021-08-21 12:20:05.217213
5	['build/factorial', '6']	Time from before all recursive calls to after them	0.029875	True		factorial	6.0	2021-08-21 12:20:05.545255
6	['build/factorial', '7']	Time from before all recursive calls to after them	0.035063	True		factorial	7.0	2021-08-21 12:20:05.925208
7	['build/factorial', '8']	Time from before all recursive calls to after them	0.039783	True		factorial	8.0	2021-08-21 12:20:06.357205
8	['build/factorial', '9']	Time from before all recursive calls to after them	0.045055	True		factorial	9.0	2021-08-21 12:20:06.833231
9	['build/factorial', '10']	Time from before all recursive calls to after them	0.049711	True		factorial	10.0	2021-08-21 12:20:07.365210
10	['build/factorial', '11']	Time from before all recursive calls to after them	0.055098	True		factorial	11.0	2021-08-21 12:20:07.941238
11	['build/factorial', '12']	Time from before all recursive calls to after them	0.059672	True		factorial	12.0	2021-08-21 12:20:08.572935
12	['build/factorial', '13']	Time from before all recursive calls to after them	0.064917	True		factorial	13.0	2021-08-21 12:20:09.249226
13	['build/factorial', '14']	Time from before all recursive calls to after them	0.069519	True		factorial	14.0	2021-08-21 12:20:09.977222
14	['build/factorial', '15']	Time from before all recursive calls to after them	0.074652	True		factorial	15.0	2021-08-21 12:20:10.753256
15	['build/factorial', '16']	Time from before all recursive calls to after them	0.079582	True		factorial	16.0	2021-08-21 12:20:11.581229
16	['build/factorial', '17']	Time from before all recursive calls to after them	0.084481	True		factorial	17.0	2021-08-21 12:20:12.457223
17	['build/factorial', '18']	Time from before all recursive calls to after them	0.089662	True		factorial	18.0	2021-08-21 12:20:13.381255
18	['build/factorial', '19']	Time from before all recursive calls to after them	0.09428	True		factorial	19.0	2021-08-21 12:20:14.357190
19	['build/factorial', '20']	Time from before all recursive calls to after them	0.099795	True		factorial	20.0	2021-08-21 12:20:15.381247
0	['target/release/factorial', '1']	Time from before all recursive calls to after them	2e-06	False		factorial	1.0	2021-08-21 12:20:16.462528
1	['target/release/factorial', '2']	Time from before all recursive calls to after them	3e-06	False		factorial	2.0	2021-08-21 12:20:16.464809
2	['target/release/factorial', '3']	Time from before all recursive calls to after them	5e-06	False		factorial	3.0	2021-08-21 12:20:16.466828
3	['target/release/factorial', '4']	Time from before all recursive calls to after them	7e-06	False		factorial	4.0	2021-08-21 12:20:16.468855
4	['target/release/factorial', '5']	Time from before all recursive calls to after them	1e-05	False		factorial	5.0	2021-08-21 12:20:16.470897
5	['target/release/factorial', '6']	Time from before all recursive calls to after them	1.1e-05	False		factorial	6.0	2021-08-21 12:20:16.472931
6	['target/release/factorial', '7']	Time from before all recursive calls to after them	1.3e-05	False		factorial	7.0	2021-08-21 12:20:16.474971
7	['target/release/factorial', '8']	Time from before all recursive calls to after them	1.4e-05	False		factorial	8.0	2021-08-21 12:20:16.477022
8	['target/release/factorial', '9']	Time from before all recursive calls to after them	1.6e-05	False		factorial	9.0	2021-08-21 12:20:16.479269
9	['target/release/factorial', '10']	Time from before all recursive calls to after them	2.4e-05	False		factorial	10.0	2021-08-21 12:20:16.481363
10	['target/release/factorial', '11']	Time from before all recursive calls to after them	2.9e-05	False		factorial	11.0	2021-08-21 12:20:16.483613
11	['target/release/factorial', '12']	Time from before all recursive calls to after them	3.6e-05	False		factorial	12.0	2021-08-21 12:20:16.486070
12	['target/release/factorial', '13']	Time from before all recursive calls to after them	3.8e-05	False		factorial	13.0	2021-08-21 12:20:16.488707
13	['target/release/factorial', '14']	Time from before all recursive calls to after them	4.9e-05	False		factorial	14.0	2021-08-21 12:20:16.491583
14	['target/release/factorial', '15']	Time from before all recursive calls to after them	5e-05	False		factorial	15.0	2021-08-21 12:20:16.494690
15	['target/release/factorial', '16']	Time from before all recursive calls to after them	6.1e-05	False		factorial	16.0	2021-08-21 12:20:16.498008
16	['target/release/factorial', '17']	Time from before all recursive calls to after them	8.1e-05	False		factorial	17.0	2021-08-21 12:20:16.501994
17	['target/release/factorial', '18']	Time from before all recursive calls to after them	8.5e-05	False		factorial	18.0	2021-08-21 12:20:16.506685
18	['target/release/factorial', '19']	Time from before all recursive calls to after them	8.9e-05	False		factorial	19.0	2021-08-21 12:20:16.511628
19	['target/release/factorial', '20']	Time from before all recursive calls to after them	0.000115	False		factorial	20.0	2021-08-21 12:20:16.516548
0	['build/factorial', '1']	Time from before all recursive calls to after them	2e-06	True		factorial	1.0	2021-08-21 12:20:16.532728
1	['build/factorial', '2']	Time from before all recursive calls to after them	0.009981	True		factorial	2.0	2021-08-21 12:20:16.629222
2	['build/factorial', '3']	Time from before all recursive calls to after them	0.015085	True		factorial	3.0	2021-08-21 12:20:16.809238
3	['build/factorial', '4']	Time from before all recursive calls to after them	0.020114	True		factorial	4.0	2021-08-21 12:20:17.041305
4	['build/factorial', '5']	Time from before all recursive calls to after them	0.025344	True		factorial	5.0	2021-08-21 12:20:17.321226
5	['build/factorial', '6']	Time from before all recursive calls to after them	0.029721	True		factorial	6.0	2021-08-21 12:20:17.653241
6	['build/factorial', '7']	Time from before all recursive calls to after them	0.034956	True		factorial	7.0	2021-08-21 12:20:18.029184
7	['build/factorial', '8']	Time from before all recursive calls to after them	0.039538	True		factorial	8.0	2021-08-21 12:20:18.457194
8	['build/factorial', '9']	Time from before all recursive calls to after them	0.044956	True		factorial	9.0	2021-08-21 12:20:18.933194
9	['build/factorial', '10']	Time from before all recursive calls to after them	0.049548	True		factorial	10.0	2021-08-21 12:20:19.461205
10	['build/factorial', '11']	Time from before all recursive calls to after them	0.055019	True		factorial	11.0	2021-08-21 12:20:20.037208
11	['build/factorial', '12']	Time from before all recursive calls to after them	0.059886	True		factorial	12.0	2021-08-21 12:20:20.669241
12	['build/factorial', '13']	Time from before all recursive calls to after them	0.06489	True		factorial	13.0	2021-08-21 12:20:21.349204
13	['build/factorial', '14']	Time from before all recursive calls to after them	0.068957	True		factorial	14.0	2021-08-21 12:20:22.077198
14	['build/factorial', '15']	Time from before all recursive calls to after them	0.074819	True		factorial	15.0	2021-08-21 12:20:22.845200
15	['build/factorial', '16']	Time from before all recursive calls to after them	0.079511	True		factorial	16.0	2021-08-21 12:20:23.673229
16	['build/factorial', '17']	Time from before all recursive calls to after them	0.084084	True		factorial	17.0	2021-08-21 12:20:24.549245
17	['build/factorial', '18']	Time from before all recursive calls to after them	0.089486	True		factorial	18.0	2021-08-21 12:20:25.469190
18	['build/factorial', '19']	Time from before all recursive calls to after them	0.09447	True		factorial	19.0	2021-08-21 12:20:26.445264
19	['build/factorial', '20']	Time from before all recursive calls to after them	0.098964	True		factorial	20.0	2021-08-21 12:20:27.469255
0	['target/release/factorial', '1']	Time from before all recursive calls to after them	2e-06	False		factorial	1.0	2021-08-21 12:20:28.542598
1	['target/release/factorial', '2']	Time from before all recursive calls to after them	4e-06	False		factorial	2.0	2021-08-21 12:20:28.544867
2	['target/release/factorial', '3']	Time from before all recursive calls to after them	5e-06	False		factorial	3.0	2021-08-21 12:20:28.546886
3	['target/release/factorial', '4']	Time from before all recursive calls to after them	7e-06	False		factorial	4.0	2021-08-21 12:20:28.548869
4	['target/release/factorial', '5']	Time from before all recursive calls to after them	1e-05	False		factorial	5.0	2021-08-21 12:20:28.550892
5	['target/release/factorial', '6']	Time from before all recursive calls to after them	1.1e-05	False		factorial	6.0	2021-08-21 12:20:28.552932
6	['target/release/factorial', '7']	Time from before all recursive calls to after them	1.3e-05	False		factorial	7.0	2021-08-21 12:20:28.555055
7	['target/release/factorial', '8']	Time from before all recursive calls to after them	1.4e-05	False		factorial	8.0	2021-08-21 12:20:28.557127
8	['target/release/factorial', '9']	Time from before all recursive calls to after them	1.6e-05	False		factorial	9.0	2021-08-21 12:20:28.559243
9	['target/release/factorial', '10']	Time from before all recursive calls to after them	2.2e-05	False		factorial	10.0	2021-08-21 12:20:28.561348
10	['target/release/factorial', '11']	Time from before all recursive calls to after them	2.6e-05	False		factorial	11.0	2021-08-21 12:20:28.563507
11	['target/release/factorial', '12']	Time from before all recursive calls to after them	2.8e-05	False		factorial	12.0	2021-08-21 12:20:28.565738
12	['target/release/factorial', '13']	Time from before all recursive calls to after them	3e-05	False		factorial	13.0	2021-08-21 12:20:28.567953
13	['target/release/factorial', '14']	Time from before all recursive calls to after them	3.3e-05	False		factorial	14.0	2021-08-21 12:20:28.570207
14	['target/release/factorial', '15']	Time from before all recursive calls to after them	3.6e-05	False		factorial	15.0	2021-08-21 12:20:28.572482
15	['target/release/factorial', '16']	Time from before all recursive calls to after them	3.5e-05	False		factorial	16.0	2021-08-21 12:20:28.574776
16	['target/release/factorial', '17']	Time from before all recursive calls to after them	4e-05	False		factorial	17.0	2021-08-21 12:20:28.577071
17	['target/release/factorial', '18']	Time from before all recursive calls to after them	4.1e-05	False		factorial	18.0	2021-08-21 12:20:28.579397
18	['target/release/factorial', '19']	Time from before all recursive calls to after them	4.4e-05	False		factorial	19.0	2021-08-21 12:20:28.581749
19	['target/release/factorial', '20']	Time from before all recursive calls to after them	5.7e-05	False		factorial	20.0	2021-08-21 12:20:28.584143
0	['build/factorial', '1']	Time from before all recursive calls to after them	2e-06	True		factorial	1.0	2021-08-21 12:20:28.591947
1	['build/factorial', '2']	Time from before all recursive calls to after them	0.010076	True		factorial	2.0	2021-08-21 12:20:28.673200
2	['build/factorial', '3']	Time from before all recursive calls to after them	0.014819	True		factorial	3.0	2021-08-21 12:20:28.853212
3	['build/factorial', '4']	Time from before all recursive calls to after them	0.020063	True		factorial	4.0	2021-08-21 12:20:29.081188
4	['build/factorial', '5']	Time from before all recursive calls to after them	0.024835	True		factorial	5.0	2021-08-21 12:20:29.361247
5	['build/factorial', '6']	Time from before all recursive calls to after them	0.029965	True		factorial	6.0	2021-08-21 12:20:29.689198
6	['build/factorial', '7']	Time from before all recursive calls to after them	0.034629	True		factorial	7.0	2021-08-21 12:20:30.069235
7	['build/factorial', '8']	Time from before all recursive calls to after them	0.039931	True		factorial	8.0	2021-08-21 12:20:30.497223
8	['build/factorial', '9']	Time from before all recursive calls to after them	0.044839	True		factorial	9.0	2021-08-21 12:20:30.977257
9	['build/factorial', '10']	Time from before all recursive calls to after them	0.049446	True		factorial	10.0	2021-08-21 12:20:31.505255
10	['build/factorial', '11']	Time from before all recursive calls to after them	0.054865	True		factorial	11.0	2021-08-21 12:20:32.081177
11	['build/factorial', '12']	Time from before all recursive calls to after them	0.059355	True		factorial	12.0	2021-08-21 12:20:32.709301
12	['build/factorial', '13']	Time from before all recursive calls to after them	0.064708	True		factorial	13.0	2021-08-21 12:20:33.381211
13	['build/factorial', '14']	Time from before all recursive calls to after them	0.070029	True		factorial	14.0	2021-08-21 12:20:34.109244
14	['build/factorial', '15']	Time from before all recursive calls to after them	0.074249	True		factorial	15.0	2021-08-21 12:20:34.889290
15	['build/factorial', '16']	Time from before all recursive calls to after them	0.079576	True		factorial	16.0	2021-08-21 12:20:35.713187
16	['build/factorial', '17']	Time from before all recursive calls to after them	0.084467	True		factorial	17.0	2021-08-21 12:20:36.589271
17	['build/factorial', '18']	Time from before all recursive calls to after them	0.089441	True		factorial	18.0	2021-08-21 12:20:37.513241
18	['build/factorial', '19']	Time from before all recursive calls to after them	0.094448	True		factorial	19.0	2021-08-21 12:20:38.489207
19	['build/factorial', '20']	Time from before all recursive calls to after them	0.098875	True		factorial	20.0	2021-08-21 12:20:39.513245
0	['target/release/factorial', '1']	Time from before all recursive calls to after them	2e-06	False		factorial	1.0	2021-08-21 12:20:40.586568
1	['target/release/factorial', '2']	Time from before all recursive calls to after them	3e-06	False		factorial	2.0	2021-08-21 12:20:40.588900
2	['target/release/factorial', '3']	Time from before all recursive calls to after them	5e-06	False		factorial	3.0	2021-08-21 12:20:40.590896
3	['target/release/factorial', '4']	Time from before all recursive calls to after them	7e-06	False		factorial	4.0	2021-08-21 12:20:40.592882
4	['target/release/factorial', '5']	Time from before all recursive calls to after them	9e-06	False		factorial	5.0	2021-08-21 12:20:40.594906
5	['target/release/factorial', '6']	Time from before all recursive calls to after them	1.1e-05	False		factorial	6.0	2021-08-21 12:20:40.596963
6	['target/release/factorial', '7']	Time from before all recursive calls to after them	1.5e-05	False		factorial	7.0	2021-08-21 12:20:40.599030
7	['target/release/factorial', '8']	Time from before all recursive calls to after them	1.6e-05	False		factorial	8.0	2021-08-21 12:20:40.601324
8	['target/release/factorial', '9']	Time from before all recursive calls to after them	1.8e-05	False		factorial	9.0	2021-08-21 12:20:40.603657
9	['target/release/factorial', '10']	Time from before all recursive calls to after them	2.4e-05	False		factorial	10.0	2021-08-21 12:20:40.606036
10	['target/release/factorial', '11']	Time from before all recursive calls to after them	2.9e-05	False		factorial	11.0	2021-08-21 12:20:40.608474
11	['target/release/factorial', '12']	Time from before all recursive calls to after them	3.2e-05	False		factorial	12.0	2021-08-21 12:20:40.610996
12	['target/release/factorial', '13']	Time from before all recursive calls to after them	3.3e-05	False		factorial	13.0	2021-08-21 12:20:40.613512
13	['target/release/factorial', '14']	Time from before all recursive calls to after them	3.8e-05	False		factorial	14.0	2021-08-21 12:20:40.616051
14	['target/release/factorial', '15']	Time from before all recursive calls to after them	4e-05	False		factorial	15.0	2021-08-21 12:20:40.618628
15	['target/release/factorial', '16']	Time from before all recursive calls to after them	4e-05	False		factorial	16.0	2021-08-21 12:20:40.621174
16	['target/release/factorial', '17']	Time from before all recursive calls to after them	4.4e-05	False		factorial	17.0	2021-08-21 12:20:40.623738
17	['target/release/factorial', '18']	Time from before all recursive calls to after them	4.6e-05	False		factorial	18.0	2021-08-21 12:20:40.626322
18	['target/release/factorial', '19']	Time from before all recursive calls to after them	5e-05	False		factorial	19.0	2021-08-21 12:20:40.628930
19	['target/release/factorial', '20']	Time from before all recursive calls to after them	6.1e-05	False		factorial	20.0	2021-08-21 12:20:40.631624
0	['build/factorial', '1']	Time from before all recursive calls to after them	2e-06	True		factorial	1.0	2021-08-21 12:20:40.640342
1	['build/factorial', '2']	Time from before all recursive calls to after them	0.010068	True		factorial	2.0	2021-08-21 12:20:40.721211
2	['build/factorial', '3']	Time from before all recursive calls to after them	0.014832	True		factorial	3.0	2021-08-21 12:20:40.901258
3	['build/factorial', '4']	Time from before all recursive calls to after them	0.020099	True		factorial	4.0	2021-08-21 12:20:41.129192
